Date,Description,Amount,Type
01/07/2026,Salary Credit - TechCorp Pvt Ltd,65000,credit
01/07/2026,Swiggy Order #4521 Dinner,450,debit
02/07/2026,Rent Transfer to Landlord,18000,debit
03/07/2026,Netflix Subscription,649,debit
03/07/2026,Zomato Lunch Order,320,debit
04/07/2026,BigBasket Groceries Weekly,1850,debit
05/07/2026,Uber Trip Home Airport,890,debit
06/07/2026,Amazon Wireless Headphones,2499,debit
07/07/2026,Spotify Premium Monthly,119,debit
08/07/2026,BSES Electricity Bill,1420,debit
09/07/2026,Ola Cab to Office,180,debit
10/07/2026,Swiggy Instamart Groceries,650,debit
11/07/2026,Myntra Clothing Purchase,3200,debit
12/07/2026,Airtel Postpaid Recharge,499,debit
13/07/2026,BookMyShow Movie Tickets,700,debit
14/07/2026,Apollo Pharmacy Medicines,540,debit
15/07/2026,Zerodha Investment SIP,5000,debit
16/07/2026,Zomato Weekend Order,610,debit
17/07/2026,Amazon Kitchen Items,1299,debit
18/07/2026,HP Petrol Pump Fuel,1500,debit
19/07/2026,Prime Video Annual,1499,debit
20/07/2026,BigBasket Groceries,2100,debit
21/07/2026,Cafe Coffee Day,320,debit
22/07/2026,Metro Card Recharge,300,debit
23/07/2026,Netmeds Order,880,debit
24/07/2026,Swiggy Dinner Order,520,debit
25/07/2026,Freelance Payment Received,12000,credit
26/07/2026,Adobe Creative Cloud,1675,debit
27/07/2026,PVR Cinemas Movies,900,debit
28/07/2026,Flipkart Home Appliance,4500,debit
29/07/2026,Uber Trip to Meeting,350,debit
30/07/2026,ACT Fibernet Broadband,1499,debit
31/07/2026,Zomato Late Night Order,410,debit
02/08/2026,Swiggy Breakfast,220,debit
03/08/2026,Blinkit Grocery Express,780,debit
04/08/2026,Ola Airport Ride,1100,debit
05/08/2026,Amazon Fresh Fruits,540,debit
06/08/2026,Netflix Subscription,649,debit
06/08/2026,Spotify Premium Monthly,119,debit
07/08/2026,BSES Electricity Bill,1580,debit
08/08/2026,Nykaa Beauty Order,1450,debit
09/08/2026,Practo Doctor Consultation,600,debit
10/08/2026,Udemy Course Purchase,499,debit
